Fy (ksi),Lb,bf,tf,tw,h0,ry,Mn(Modified),Mn(AISC code),Mn(FE model),Mp,b,Mcr
139.236,160,11.4,1.59,0.89,18.41,2.76,43094.70936,55415.928,48525.2938883968,55415.928,11.4,75547.7083284262
139.236,190,11.4,1.59,0.89,18.41,2.76,38821.58538,55415.928,43951.865279008,55415.928,11.4,58842.7482114928
139.236,220,11.4,1.59,0.89,18.41,2.76,34964.25607,54713.5178447278,42442.3201062888,55415.928,11.4,48085.6338254861
139.236,250,11.4,1.59,0.89,18.41,2.76,31608.85125,51023.8495918246,37858.0081930912,55415.928,11.4,40644.6155264913
139.236,290,11.4,1.59,0.89,18.41,2.76,27870.76506,46104.2919212869,32998.4077502214,55415.928,11.4,33717.6689787549
139.236,320,11.4,1.59,0.89,18.41,2.76,25538.06504,28089.3520037033,28002.1838795394,55415.928,11.4,29918.9032348536
139.236,360,11.4,1.59,0.89,18.41,2.76,22931.89223,24489.8524986433,21862.7856510186,55415.928,11.4,26036.1309789349
139.236,390,11.4,1.59,0.89,18.41,2.76,21282.99666,22356.273320511,18227.5006421612,55415.928,11.4,23741.4175704129
139.236,400,11.4,1.59,0.89,18.41,2.76,20782.344,21727.6164647484,16658.5078830824,55415.928,11.4,23066.2902263459
139.236,130,11.1,0.77,0.48,17.63,2.63,20618.76991,25897.896,20120.7033658105,25897.896,11.1,37757.270207197
139.236,160,11.1,0.77,0.48,17.63,2.63,17644.1839,25897.896,20148.9268379097,25897.896,11.1,25966.7633472999
139.236,180,11.1,0.77,0.48,17.63,2.63,15772.92998,24586.4691928278,19012.4736935341,25897.896,11.1,21137.6014524527
139.236,200,11.1,0.77,0.48,17.63,2.63,14091.10308,22890.5413541154,18338.8449955713,25897.896,11.1,17666.4088390982
139.236,230,11.1,0.77,0.48,17.63,2.63,11965.5766,13445.4185461059,11061.819238264,25897.896,11.1,14030.0865459095
139.236,260,11.1,0.77,0.48,17.63,2.63,10277.06895,11085.5796481065,10901.6012577502,25897.896,11.1,11549.053023547
139.236,290,11.1,0.77,0.48,17.63,2.63,8942.798872,9393.4298006825,9050.26297608503,25897.896,11.1,9771.81097348364
139.236,310,11.1,0.77,0.48,17.63,2.63,8209.373244,8514.58793740228,6578.52125775022,25897.896,11.1,8849.62648670249
