Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr,Mn/Mp (Formula),Mn/Mp (FEM)
129.2134831,45.52447552,45.52447552,45.52447552,1.608391608,208.279468,3.623407631,0.261944022,0.255745141
33.89830508,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,0.326646629,0.932770955,1.052983305
44.06779661,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,0.529257938,0.857742598,1.017459696
54.23728814,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,0.763749943,0.766048225,0.871434699
64.40677966,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,1.021512947,0.673123742,0.83089842
67.79661017,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,1.111338868,0.643799358,0.783880737
77.96610169,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,1.389454972,0.563531932,0.717867413
88.13559322,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,1.676921933,0.495771297,0.612716584
98.30508475,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,1.970204552,0.439652247,0.399096142
105.0847458,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,2.167701532,0.407816877,0.41908639
115.2542373,29.09722222,29.09722222,29.09722222,1.597222222,208.279468,2.465584141,0.367018024,0.310362493
43.47826087,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,0.467220522,0.881771069,0.98067673
57.97101449,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,0.73352229,0.777659256,0.875656073
68.84057971,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,0.941763084,0.700549224,0.793126938
79.71014493,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,1.152442499,0.630942354,0.765886662
90.57971014,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,1.36342606,0.570392889,0.683161134
105.0724638,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,1.64352785,0.502937803,0.595467927
115.942029,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,1.852204527,0.460843407,0.505309302
130.4347826,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,2.128424075,0.413814098,0.394521692
141.3043478,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,2.334145711,0.384059194,0.328921689
144.9275362,20.68539326,20.68539326,20.68539326,1.786516854,208.279468,2.402463832,0.37502474,0.30060866
29.62962963,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,0.241386192,0.959416426,1.084848335
44.44444444,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,0.463495679,0.883194428,0.937592301
61.72839506,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,0.741384697,0.774628311,0.89647161
69.13580247,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,0.861610633,0.72936355,0.857414823
74.07407407,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,0.941633563,0.7005948,0.773530102
91.35802469,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,1.219855983,0.610615689,0.750331504
96.2962963,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,1.298721915,0.588014113,0.750413091
103.7037037,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,1.4164951,0.556539604,0.734703054
106.1728395,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,1.455617322,0.546662115,0.700094047
113.5802469,15.79775281,15.79775281,15.79775281,1.617977528,208.279468,1.572599167,0.518745784,0.664948412
49.42965779,36.72916667,36.72916667,36.72916667,1.604166667,208.279468,0.685904883,0.796156178,0.776924248
60.8365019,36.72916667,36.72916667,36.72916667,1.604166667,208.279468,0.997347866,0.681297967,0.778014046
68.44106464,36.72916667,36.72916667,36.72916667,1.604166667,208.279468,1.225205048,0.609042911,0.734131981
76.04562738,36.72916667,36.72916667,36.72916667,1.604166667,208.279468,1.465940035,0.544102234,0.708121038
87.45247148,36.72916667,36.72916667,36.72916667,1.604166667,208.279468,1.84588284,0.462028908,0.427131966
98.85931559,36.72916667,36.72916667,36.72916667,1.604166667,208.279468,2.242425933,0.396830265,0.420945441
110.2661597,36.72916667,36.72916667,36.72916667,1.604166667,208.279468,2.650265756,0.345309861,0.349459391
117.8707224,36.72916667,36.72916667,36.72916667,1.604166667,208.279468,2.926439442,0.316989969,0.254017595
129.2775665,36.72916667,36.72916667,36.72916667,1.604166667,208.279468,3.344888518,0.281589206,0.244089141
45,18.53691275,18.53691275,18.53691275,1.597315436,208.279468,0.509533994,0.865437713,1.008381432
62.5,18.53691275,18.53691275,18.53691275,1.597315436,208.279468,0.836057392,0.738794373,0.796813648
70,18.53691275,18.53691275,18.53691275,1.597315436,208.279468,0.979651701,0.687359547,0.792996385
75,18.53691275,18.53691275,18.53691275,1.597315436,208.279468,1.075707318,0.655230347,0.794341386
92.5,18.53691275,18.53691275,18.53691275,1.597315436,208.279468,1.411463502,0.557830401,0.632290766
97.5,18.53691275,18.53691275,18.53691275,1.597315436,208.279468,1.506932727,0.53412388,0.700940972
105,18.53691275,18.53691275,18.53691275,1.597315436,208.279468,1.649614882,0.501618596,0.686575251
107.5,18.53691275,18.53691275,18.53691275,1.597315436,208.279468,1.697030603,0.491538363,0.650541169
115,18.53691275,18.53691275,18.53691275,1.597315436,208.279468,1.838838889,0.463356098,0.411705032
